ligand	receptor	ligand_uniprot	receptor_uniprot database
SEMA3B	NRP1_PLXNA4	Q13214	COMPLEX:O14786_Q9HCM2	Liana_v0.1.12
SEMA3B	NRP1_PLXNA1	Q13214	COMPLEX:O14786_Q9UIW2	Liana_v0.1.12
SEMA3B	NRP2_PLXNA2	Q13214	COMPLEX:O60462_O75051	Liana_v0.1.12
SEMA3B	NRP2_PLXNA3	Q13214	COMPLEX:O60462_P51805	Liana_v0.1.12
SEMA3B	NRP2_PLXNA4	Q13214	COMPLEX:O60462_Q9HCM2	Liana_v0.1.12
SEMA3B	NRP2_PLXNA1	Q13214	COMPLEX:O60462_Q9UIW2	Liana_v0.1.12
IL15RA	AXL	Q13261	P30530	Liana_v0.1.12
SEMA3F	NRP2_PLXNA2	Q13275	COMPLEX:O60462_O75051	Liana_v0.1.12
SEMA3F	NRP2_PLXNA3	Q13275	COMPLEX:O60462_P51805	Liana_v0.1.12
SEMA3F	NRP2_PLXNA4	Q13275	COMPLEX:O60462_Q9HCM2	Liana_v0.1.12
SEMA3F	NRP2_PLXNA1	Q13275	COMPLEX:O60462_Q9UIW2	Liana_v0.1.12
SEMA3F	NRP1	Q13275	O14786	Liana_v0.1.12
PNOC	ADRA2A	Q13519	P08913	Liana_v0.1.12
PNOC	OPRL1	Q13519	P41146	Liana_v0.1.12;Cpdb_v4.1
PNOC	MTNR1A	Q13519	P48039	Liana_v0.1.12
PNOC	GRM7	Q13519	Q14831	Liana_v0.1.12
IL16	CD4	Q14005	P01730	Liana_v0.1.12
IL16	CCR5	Q14005	P51681	Liana_v0.1.12
IL18	IL18R1_IL18RAP	Q14116	COMPLEX:O95256_Q13478	Liana_v0.1.12;Cpdb_v4.1
IL18	IL18_IL18R1_IL18RAP	Q14116	COMPLEX:O95256_Q13478_Q14116	Liana_v0.1.12
IL18	IL1RL2	Q14116	Q9HB29	Liana_v0.1.12
IL18	IL1RAPL1	Q14116	Q9NZN1	Liana_v0.1.12
GAS6	AXL	Q14393	P30530	Liana_v0.1.12;Cpdb_v4.1
GAS6	TYRO3	Q14393	Q06418	Liana_v0.1.12;Cpdb_v4.1
GAS6	MERTK	Q14393	Q12866	Liana_v0.1.12;Cpdb_v4.1
CSHL1	GHR	Q14406	P10912	Liana_v0.1.12
CSHL1	PRLR	Q14406	P16471	Liana_v0.1.12
SEMA3A	NRP1_PLXNA2	Q14563	COMPLEX:O14786_O75051	Liana_v0.1.12;Cpdb_v4.1
SEMA3A	NRP1_PLXNA3	Q14563	COMPLEX:O14786_P51805	Liana_v0.1.12;Cpdb_v4.1
SEMA3A	NRP1_PLXNA4	Q14563	COMPLEX:O14786_Q9HCM2	Liana_v0.1.12;Cpdb_v4.1
SEMA3A	NRP1_PLXNA1	Q14563	COMPLEX:O14786_Q9UIW2	Liana_v0.1.12;Cpdb_v4.1
SEMA3A	NRP2	Q14563	O60462	Liana_v0.1.12
IHH	PTCH1_SMO	Q14623	COMPLEX:Q13635_Q99835	Liana_v0.1.12
IHH	PTCH2_SMO	Q14623	COMPLEX:Q99835_Q9Y6C5	Liana_v0.1.12
IHH	CDON	Q14623	Q4KMG0	Liana_v0.1.12
IHH	BOC	Q14623	Q9BWV1	Liana_v0.1.12
COL19A1	ITGA10_ITGB1	Q14993	COMPLEX:O75578_P05556	Liana_v0.1.12
COL19A1	ITGA2_ITGB1	Q14993	COMPLEX:P05556_P17301	Liana_v0.1.12
COL19A1	ITGA1_ITGB1	Q14993	COMPLEX:P05556_P56199	Liana_v0.1.12
COL19A1	ITGA11_ITGB1	Q14993	COMPLEX:P05556_Q9UKX5	Liana_v0.1.12
POSTN	ITGAV_ITGB3	Q15063	COMPLEX:P05106_P06756	Liana_v0.1.12
POSTN	ITGAV_ITGB5	Q15063	COMPLEX:P06756_P18084	Liana_v0.1.12
POSTN	PTK7	Q15063	Q13308	Liana_v0.1.12
ANGPT1	ITGB1	Q15389	P05556	Liana_v0.1.12
ANGPT1	ITGA5	Q15389	P08648	Liana_v0.1.12
ANGPT1	TIE1	Q15389	P35590	Liana_v0.1.12
ANGPT1	TEK	Q15389	Q02763	Liana_v0.1.12;Cpdb_v4.1
SHH	PTCH1_SMO	Q15465	COMPLEX:Q13635_Q99835	Liana_v0.1.12
SHH	PTCH2_SMO	Q15465	COMPLEX:Q99835_Q9Y6C5	Liana_v0.1.12
SHH	GPC1	Q15465	P35052	Liana_v0.1.12
SHH	GPC5	Q15465	P78333	Liana_v0.1.12
SHH	LRP2	Q15465	P98164	Liana_v0.1.12
SHH	CDON	Q15465	Q4KMG0	Liana_v0.1.12
SHH	BOC	Q15465	Q9BWV1	Liana_v0.1.12
FCN2	LRP1	Q15485	Q07954	Liana_v0.1.12
KISS1	KISS1R	Q15726	Q969F8	Liana_v0.1.12;Cpdb_v4.1
ADIPOQ	GPR42	Q15848	O15529	Liana_v0.1.12
ADIPOQ	ASGR2	Q15848	P07307	Liana_v0.1.12
ADIPOQ	CNR2	Q15848	P34972	Liana_v0.1.12
ADIPOQ	ADIPOR2	Q15848	Q86V24	Liana_v0.1.12
ADIPOQ	PROKR2	Q15848	Q8NFJ6	Liana_v0.1.12
ADIPOQ	GPR152	Q15848	Q8TDT2	Liana_v0.1.12
ADIPOQ	ADIPOR1	Q15848	Q96A54	Liana_v0.1.12
ADIPOQ	CLEC2D	Q15848	Q9UHP7	Liana_v0.1.12
ECM1	ITGB4	Q16610	P16144	Liana_v0.1.12
CTF1	IL6ST_LIFR	Q16619	COMPLEX:P40189_P42702	Liana_v0.1.12
CCL14	CCR1	Q16627	P32246	Liana_v0.1.12;Cpdb_v4.1
CCL14	CCR3	Q16627	P51677	Liana_v0.1.12;Cpdb_v4.1
CCL14	CCR5	Q16627	P51681	Liana_v0.1.12
CCL14	ACKR1	Q16627	Q16570	Liana_v0.1.12
GUCA2B	GUCY2C	Q16661	P25092	Liana_v0.1.12
CCL15	CCR1	Q16663	P32246	Liana_v0.1.12;Cpdb_v4.1
CCL15	CCR3	Q16663	P51677	Liana_v0.1.12;Cpdb_v4.1
MIA	CDH7	Q16674	Q9ULB5	Liana_v0.1.12
COL24A1	ITGA10_ITGB1	Q17RW2	COMPLEX:O75578_P05556	Liana_v0.1.12
COL24A1	ITGA2_ITGB1	Q17RW2	COMPLEX:P05556_P17301	Liana_v0.1.12
COL24A1	ITGA1_ITGB1	Q17RW2	COMPLEX:P05556_P56199	Liana_v0.1.12
COL24A1	ITGA11_ITGB1	Q17RW2	COMPLEX:P05556_Q9UKX5	Liana_v0.1.12
MSMP	CCR2	Q1L6U9	P41597	Liana_v0.1.12
RSPO4	LGR5_LRP5	Q2I0M5	COMPLEX:O75197_O75473	Liana_v0.1.12
RSPO4	LGR4_LRP5	Q2I0M5	COMPLEX:O75197_Q9BXB1	Liana_v0.1.12
RSPO4	LGR5_LRP6	Q2I0M5	COMPLEX:O75473_O75581	Liana_v0.1.12
RSPO4	LGR4_LRP6	Q2I0M5	COMPLEX:O75581_Q9BXB1	Liana_v0.1.12
RSPO4	LGR6	Q2I0M5	Q9HBX8	Liana_v0.1.12;Cpdb_v4.1
RSPO1	LGR5	Q2MKA7	O75473	Liana_v0.1.12;Cpdb_v4.1
RSPO1	LRP6	Q2MKA7	O75581	Liana_v0.1.12
RSPO1	LGR4	Q2MKA7	Q9BXB1	Liana_v0.1.12;Cpdb_v4.1
RSPO1	FZD8	Q2MKA7	Q9H461	Liana_v0.1.12
RSPO1	LGR6	Q2MKA7	Q9HBX8	Liana_v0.1.12;Cpdb_v4.1
COL28A1	ITGA10_ITGB1	Q2UY09	COMPLEX:O75578_P05556	Liana_v0.1.12
COL28A1	ITGA2_ITGB1	Q2UY09	COMPLEX:P05556_P17301	Liana_v0.1.12
COL28A1	ITGA1_ITGB1	Q2UY09	COMPLEX:P05556_P56199	Liana_v0.1.12
COL28A1	ITGA11_ITGB1	Q2UY09	COMPLEX:P05556_Q9UKX5	Liana_v0.1.12
ERFE	LRP1	Q4G0M1	Q07954	Liana_v0.1.12
NMS	ADRA2A	Q5H8A3	P08913	Liana_v0.1.12
NMS	MTNR1A	Q5H8A3	P48039	Liana_v0.1.12
NMS	GRM7	Q5H8A3	Q14831	Liana_v0.1.12
NMS	NMUR2	Q5H8A3	Q9GZQ4	Liana_v0.1.12;Cpdb_v4.1
NMS	NMUR1	Q5H8A3	Q9HB89	Liana_v0.1.12;Cpdb_v4.1
SIRPB2	CD47	Q5JXA9	Q08722	Liana_v0.1.12
ARTN	GFRA3_RET	Q5T4W7	COMPLEX:O60609_P07949	Liana_v0.1.12;Cpdb_v4.1
ARTN	GFRA1_RET	Q5T4W7	COMPLEX:P07949_P56159	Liana_v0.1.12;Cpdb_v4.1
ARTN	GFRA2	Q5T4W7	O00451	Liana_v0.1.12
IL31	IL31RA_OSMR	Q6EBC2	COMPLEX:Q8NI17_Q99650	Liana_v0.1.12
GDF6	ACVR2A_BMPR1B	Q6KF10	COMPLEX:O00238_P27037	Liana_v0.1.12;Cpdb_v4.1
GDF6	ACVR2B_BMPR1B	Q6KF10	COMPLEX:O00238_Q13705	Liana_v0.1.12;Cpdb_v4.1
GDF6	BMPR1B_BMPR2	Q6KF10	COMPLEX:O00238_Q13873	Liana_v0.1.12;Cpdb_v4.1
GDF6	ACVR2A_BMPR1A	Q6KF10	COMPLEX:P27037_P36894	Liana_v0.1.12;Cpdb_v4.1
GDF6	ACVR2B_BMPR1A	Q6KF10	COMPLEX:P36894_Q13705	Liana_v0.1.12
GDF6	BMPR1A_BMPR2	Q6KF10	COMPLEX:P36894_Q13873	Liana_v0.1.12;Cpdb_v4.1
IGFL1	IGFLR1	Q6UW32	Q9H665	Liana_v0.1.12;Cpdb_v4.1
IGFL2	IGFLR1	Q6UWQ7	Q9H665	Liana_v0.1.12;Cpdb_v4.1
ENHO	GPR19	Q6UWT2	Q15760	Liana_v0.1.12
VSTM1	LAMP1	Q6UX27	P11279	Liana_v0.1.12
VSTM1	ADGRG3	Q6UX27	Q86Y34	Liana_v0.1.12
ALKAL2	LTK	Q6UX46	P29376	Liana_v0.1.12
ALKAL2	ALK	Q6UX46	Q9UM73	Liana_v0.1.12
IGFL3	IGFLR1	Q6UXB1	Q9H665	Liana_v0.1.12;Cpdb_v4.1
CXCL17	GPR35	Q6UXB2	Q9HC97	Liana_v0.1.12
ALKAL1	LTK	Q6UXT8	P29376	Liana_v0.1.12
ALKAL1	ALK	Q6UXT8	Q9UM73	Liana_v0.1.12
RSPO2	LGR5	Q6UXX9	O75473	Liana_v0.1.12;Cpdb_v4.1
RSPO2	RNF43	Q6UXX9	Q68DV7	Liana_v0.1.12
RSPO2	LGR4	Q6UXX9	Q9BXB1	Liana_v0.1.12;Cpdb_v4.1
RSPO2	LGR6	Q6UXX9	Q9HBX8	Liana_v0.1.12;Cpdb_v4.1
SOSTDC1	LRP4	Q6X4U4	O75096	Liana_v0.1.12
SOSTDC1	LRP5	Q6X4U4	O75197	Liana_v0.1.12;Cpdb_v4.1
SOSTDC1	LRP6	Q6X4U4	O75581	Liana_v0.1.12;Cpdb_v4.1
IL34	PTPRZ1	Q6ZMJ4	P23471	Liana_v0.1.12
UTS2B	SSTR5	Q765I0	P35346	Liana_v0.1.12
UTS2B	UTS2R	Q765I0	Q9UKP6	Liana_v0.1.12;Cpdb_v4.1
ADM2	RAMP1	Q7Z4H4	O60894	Liana_v0.1.12
ADM2	RAMP2	Q7Z4H4	O60895	Liana_v0.1.12
ADM2	RAMP3	Q7Z4H4	O60896	Liana_v0.1.12
ADM2	ADRB2	Q7Z4H4	P07550	Liana_v0.1.12
ADM2	ADRB3	Q7Z4H4	P13945	Liana_v0.1.12
ADM2	TSHR	Q7Z4H4	P16473	Liana_v0.1.12
ADM2	VIPR1	Q7Z4H4	P32241	Liana_v0.1.12
ADM2	ADCYAP1R1	Q7Z4H4	P41586	Liana_v0.1.12
ADM2	PTH1R	Q7Z4H4	Q03431	Liana_v0.1.12
ADM2	CALCRL	Q7Z4H4	Q16602	Liana_v0.1.12
ADM2	GPR20	Q7Z4H4	Q99678	Liana_v0.1.12
ADM2	GPR84	Q7Z4H4	Q9NQS5	Liana_v0.1.12
GDF7	ACVR2A_BMPR1B	Q7Z4P5	COMPLEX:O00238_P27037	Liana_v0.1.12;Cpdb_v4.1
GDF7	ACVR2B_BMPR1B	Q7Z4P5	COMPLEX:O00238_Q13705	Liana_v0.1.12;Cpdb_v4.1
GDF7	BMPR1B_BMPR2	Q7Z4P5	COMPLEX:O00238_Q13873	Liana_v0.1.12;Cpdb_v4.1
GDF7	ACVR2A_BMPR1A	Q7Z4P5	COMPLEX:P27037_P36894	Liana_v0.1.12;Cpdb_v4.1
GDF7	ACVR2B_BMPR1A	Q7Z4P5	COMPLEX:P36894_Q13705	Liana_v0.1.12;Cpdb_v4.1
GDF7	BMPR1A_BMPR2	Q7Z4P5	COMPLEX:P36894_Q13873	Liana_v0.1.12;Cpdb_v4.1
BMP8A	ACVR2A_BMPR1B	Q7Z5Y6	COMPLEX:O00238_P27037	Liana_v0.1.12;Cpdb_v4.1
BMP8A	ACVR2B_BMPR1B	Q7Z5Y6	COMPLEX:O00238_Q13705	Liana_v0.1.12;Cpdb_v4.1
BMP8A	BMPR1B_BMPR2	Q7Z5Y6	COMPLEX:O00238_Q13873	Liana_v0.1.12;Cpdb_v4.1
BMP8A	ACVR2A_BMPR1A	Q7Z5Y6	COMPLEX:P27037_P36894	Liana_v0.1.12;Cpdb_v4.1
BMP8A	ACVR1_ACVR2A	Q7Z5Y6	COMPLEX:P27037_Q04771	Liana_v0.1.12;Cpdb_v4.1
BMP8A	ACVR2B_BMPR1A	Q7Z5Y6	COMPLEX:P36894_Q13705	Liana_v0.1.12;Cpdb_v4.1
BMP8A	BMPR1A_BMPR2	Q7Z5Y6	COMPLEX:P36894_Q13873	Liana_v0.1.12;Cpdb_v4.1
BMP8A	ACVR1_ACVR2B	Q7Z5Y6	COMPLEX:Q04771_Q13705	Liana_v0.1.12;Cpdb_v4.1
BMP8A	ACVR1_BMPR2	Q7Z5Y6	COMPLEX:Q04771_Q13873	Liana_v0.1.12;Cpdb_v4.1
BMP8A	TGFBR1	Q7Z5Y6	P36897	Liana_v0.1.12
BMP8A	TGFBR2	Q7Z5Y6	P37173	Liana_v0.1.12
TAC4	TACR2	Q86UU9	P21452	Liana_v0.1.12
IFNE	IFNAR1_IFNAR2	Q86WN2	COMPLEX:P17181_P48551	Liana_v0.1.12;Cpdb_v4.1
IFNE	ADGRV1	Q86WN2	Q8WXG9	Liana_v0.1.12
GPHB5	TSHR	Q86YW7	P16473	Liana_v0.1.12
IFNL1	IFNLR1_IL10RB	Q8IU54	COMPLEX:Q08334_Q8IU57	Liana_v0.1.12
SFTPA1	TLR2	Q8IWL2	O60603	Liana_v0.1.12
COL27A1	ITGA10_ITGB1	Q8IZC6	COMPLEX:O75578_P05556	Liana_v0.1.12
COL27A1	ITGA2_ITGB1	Q8IZC6	COMPLEX:P05556_P17301	Liana_v0.1.12
COL27A1	ITGA1_ITGB1	Q8IZC6	COMPLEX:P05556_P56199	Liana_v0.1.12
COL27A1	ITGA11_ITGB1	Q8IZC6	COMPLEX:P05556_Q9UKX5	Liana_v0.1.12
IFNL3	IFNLR1_IL10RB	Q8IZI9	COMPLEX:Q08334_Q8IU57	Liana_v0.1.12;Cpdb_v4.1
IFNL3	IFNL3_IFNLR1_IL10RB	Q8IZI9	COMPLEX:Q08334_Q8IU57_Q8IZI9	Liana_v0.1.12
IFNL2	IFNLR1_IL10RB	Q8IZJ0	COMPLEX:Q08334_Q8IU57	Liana_v0.1.12
LGI2	ADAM23	Q8N0V4	O75077	Liana_v0.1.12
DEFB106B	CCR2	Q8N104	P41597	Liana_v0.1.12
LGI4	ADAM23	Q8N135	O75077	Liana_v0.1.12
LGI3	ADAM23	Q8N145	O75077	Liana_v0.1.12
NPW	ADRA2A	Q8N729	P08913	Liana_v0.1.12
NPW	MTNR1A	Q8N729	P48039	Liana_v0.1.12
NPW	NPBWR1	Q8N729	P48145	Liana_v0.1.12;Cpdb_v4.1
NPW	NPBWR2	Q8N729	P48146	Liana_v0.1.12;Cpdb_v4.1
NPW	GRM7	Q8N729	Q14831	Liana_v0.1.12
FNDC5	ITGAV	Q8NAU1	P06756	Liana_v0.1.12
FNDC5	ITGB5	Q8NAU1	P18084	Liana_v0.1.12
DRAXIN	DCC	Q8NBI3	P43146	Liana_v0.1.12
PCSK9	LDLR	Q8NBP7	P01130	Liana_v0.1.12
PCSK9	VLDLR	Q8NBP7	P98155	Liana_v0.1.12
PCSK9	APLP2	Q8NBP7	Q06481	Liana_v0.1.12
PCSK9	LRP1	Q8NBP7	Q07954	Liana_v0.1.12
COL22A1	ITGA10_ITGB1	Q8NFW1	COMPLEX:O75578_P05556	Liana_v0.1.12
COL22A1	ITGA2_ITGB1	Q8NFW1	COMPLEX:P05556_P17301	Liana_v0.1.12
COL22A1	ITGA1_ITGB1	Q8NFW1	COMPLEX:P05556_P56199	Liana_v0.1.12
COL22A1	ITGA11_ITGB1	Q8NFW1	COMPLEX:P05556_Q9UKX5	Liana_v0.1.12
NPB	ADRA2A	Q8NG41	P08913	Liana_v0.1.12
NPB	MTNR1A	Q8NG41	P48039	Liana_v0.1.12
NPB	NPBWR1	Q8NG41	P48145	Liana_v0.1.12;Cpdb_v4.1
NPB	NPBWR2	Q8NG41	P48146	Liana_v0.1.12;Cpdb_v4.1
NPB	GRM7	Q8NG41	Q14831	Liana_v0.1.12
CCL4L1	GPR42	Q8NHW4	O15529	Liana_v0.1.12
CCL4L1	FFAR2	Q8NHW4	O15552	Liana_v0.1.12
CCL4L1	CCR1	Q8NHW4	P32246	Liana_v0.1.12
CCL4L1	CCR3	Q8NHW4	P51677	Liana_v0.1.12
CCL4L1	CCR5	Q8NHW4	P51681	Liana_v0.1.12
CCL4L1	GPR152	Q8NHW4	Q8TDT2	Liana_v0.1.12
CCL4L1	GPR151	Q8NHW4	Q8TDV0	Liana_v0.1.12
CCL4L1	GPR101	Q8NHW4	Q96P66	Liana_v0.1.12
CCL4L1	VSIR	Q8NHW4	Q9H7M9	Liana_v0.1.12
IL1F10	IL1RAP_IL1RL2	Q8WWZ1	COMPLEX:Q9HB29_Q9NPH3	Liana_v0.1.12;Cpdb_v4.1
IL1F10	IL1R1	Q8WWZ1	P14778	Liana_v0.1.12
IL1F10	SIGIRR	Q8WWZ1	Q6IA17	Liana_v0.1.12
IL1F10	IL1RAPL2	Q8WWZ1	Q9NP60	Liana_v0.1.12
IL1F10	IL1RAPL1	Q8WWZ1	Q9NZN1	Liana_v0.1.12
RLN3	RAMP2	Q8WXF3	O60895	Liana_v0.1.12
RLN3	RAMP3	Q8WXF3	O60896	Liana_v0.1.12
RLN3	ADRB2	Q8WXF3	P07550	Liana_v0.1.12
RLN3	ADRA2A	Q8WXF3	P08913	Liana_v0.1.12
RLN3	ADRB3	Q8WXF3	P13945	Liana_v0.1.12
RLN3	TSHR	Q8WXF3	P16473	Liana_v0.1.12
RLN3	VIPR1	Q8WXF3	P32241	Liana_v0.1.12
RLN3	ADCYAP1R1	Q8WXF3	P41586	Liana_v0.1.12
RLN3	MTNR1A	Q8WXF3	P48039	Liana_v0.1.12
RLN3	PTH1R	Q8WXF3	Q03431	Liana_v0.1.12
RLN3	GRM7	Q8WXF3	Q14831	Liana_v0.1.12
RLN3	RXFP4	Q8WXF3	Q8TDU9	Liana_v0.1.12;Cpdb_v4.1
RLN3	RXFP2	Q8WXF3	Q8WXD0	Liana_v0.1.12;Cpdb_v4.1
RLN3	GPR20	Q8WXF3	Q99678	Liana_v0.1.12
RLN3	RXFP1	Q8WXF3	Q9HBX9	Liana_v0.1.12;Cpdb_v4.1
RLN3	GPR84	Q8WXF3	Q9NQS5	Liana_v0.1.12
RLN3	RXFP3	Q8WXF3	Q9NSD7	Liana_v0.1.12;Cpdb_v4.1
FAM3C	GPR42	Q92520	O15529	Liana_v0.1.12
FAM3C	FFAR2	Q92520	O15552	Liana_v0.1.12
FAM3C	LAMP1	Q92520	P11279	Liana_v0.1.12
FAM3C	LIFR	Q92520	P42702	Liana_v0.1.12
FAM3C	KIR2DL3	Q92520	P43628	Liana_v0.1.12
FAM3C	PDCD1	Q92520	Q15116	Liana_v0.1.12
FAM3C	ADGRG5	Q92520	Q8IZF4	Liana_v0.1.12
FAM3C	CLEC2D	Q92520	Q9UHP7	Liana_v0.1.12
CCL17	CCR4	Q92583	P51679	Liana_v0.1.12;Cpdb_v4.1
CCL17	CCR8	Q92583	P51685	Liana_v0.1.12
CCL17	ACKR1	Q92583	Q16570	Liana_v0.1.12
FGF13	EGFR	Q92913	P00533	Liana_v0.1.12
FGF13	FGFR1	Q92913	P11362	Liana_v0.1.12
FGF13	FGFR2	Q92913	P21802	Liana_v0.1.12
FGF13	FGFR4	Q92913	P22455	Liana_v0.1.12
FGF13	FGFR3	Q92913	P22607	Liana_v0.1.12
PRG4	TLR4	Q92954	O00206	Liana_v0.1.12
PRG4	TLR2	Q92954	O60603	Liana_v0.1.12
PRG4	CD44	Q92954	P16070	Liana_v0.1.12
WNT2B	FZD9_LRP5	Q93097	COMPLEX:O00144_O75197	Liana_v0.1.12
WNT2B	FZD9_LRP6	Q93097	COMPLEX:O00144_O75581	Liana_v0.1.12
WNT2B	FZD6_LRP5	Q93097	COMPLEX:O60353_O75197	Liana_v0.1.12
WNT2B	FZD6_LRP6	Q93097	COMPLEX:O60353_O75581	Liana_v0.1.12
WNT2B	FZD7_LRP5	Q93097	COMPLEX:O75084_O75197	Liana_v0.1.12
WNT2B	FZD7_LRP6	Q93097	COMPLEX:O75084_O75581	Liana_v0.1.12
WNT2B	FZD5_LRP5	Q93097	COMPLEX:O75197_Q13467	Liana_v0.1.12
WNT2B	FZD2_LRP5	Q93097	COMPLEX:O75197_Q14332	Liana_v0.1.12
WNT2B	FZD8_LRP5	Q93097	COMPLEX:O75197_Q9H461	Liana_v0.1.12
WNT2B	FZD3_LRP5	Q93097	COMPLEX:O75197_Q9NPG1	Liana_v0.1.12
WNT2B	FZD4_LRP5	Q93097	COMPLEX:O75197_Q9ULV1	Liana_v0.1.12
WNT2B	FZD10_LRP5	Q93097	COMPLEX:O75197_Q9ULW2	Liana_v0.1.12
WNT2B	FZD1_LRP5	Q93097	COMPLEX:O75197_Q9UP38	Liana_v0.1.12
WNT2B	FZD5_LRP6	Q93097	COMPLEX:O75581_Q13467	Liana_v0.1.12
WNT2B	FZD2_LRP6	Q93097	COMPLEX:O75581_Q14332	Liana_v0.1.12
WNT2B	FZD8_LRP6	Q93097	COMPLEX:O75581_Q9H461	Liana_v0.1.12
WNT2B	FZD3_LRP6	Q93097	COMPLEX:O75581_Q9NPG1	Liana_v0.1.12
WNT2B	FZD4_LRP6	Q93097	COMPLEX:O75581_Q9ULV1	Liana_v0.1.12
WNT2B	FZD10_LRP6	Q93097	COMPLEX:O75581_Q9ULW2	Liana_v0.1.12
WNT2B	FZD1_LRP6	Q93097	COMPLEX:O75581_Q9UP38	Liana_v0.1.12
WNT8B	FZD9_LRP5	Q93098	COMPLEX:O00144_O75197	Liana_v0.1.12
WNT8B	FZD9_LRP6	Q93098	COMPLEX:O00144_O75581	Liana_v0.1.12
WNT8B	FZD6_LRP5	Q93098	COMPLEX:O60353_O75197	Liana_v0.1.12
WNT8B	FZD6_LRP6	Q93098	COMPLEX:O60353_O75581	Liana_v0.1.12
WNT8B	FZD7_LRP5	Q93098	COMPLEX:O75084_O75197	Liana_v0.1.12
WNT8B	FZD7_LRP6	Q93098	COMPLEX:O75084_O75581	Liana_v0.1.12
WNT8B	FZD5_LRP5	Q93098	COMPLEX:O75197_Q13467	Liana_v0.1.12
WNT8B	FZD2_LRP5	Q93098	COMPLEX:O75197_Q14332	Liana_v0.1.12
WNT8B	FZD8_LRP5	Q93098	COMPLEX:O75197_Q9H461	Liana_v0.1.12
WNT8B	FZD3_LRP5	Q93098	COMPLEX:O75197_Q9NPG1	Liana_v0.1.12
WNT8B	FZD4_LRP5	Q93098	COMPLEX:O75197_Q9ULV1	Liana_v0.1.12
WNT8B	FZD10_LRP5	Q93098	COMPLEX:O75197_Q9ULW2	Liana_v0.1.12
WNT8B	FZD1_LRP5	Q93098	COMPLEX:O75197_Q9UP38	Liana_v0.1.12
WNT8B	FZD5_LRP6	Q93098	COMPLEX:O75581_Q13467	Liana_v0.1.12
WNT8B	FZD2_LRP6	Q93098	COMPLEX:O75581_Q14332	Liana_v0.1.12
WNT8B	FZD8_LRP6	Q93098	COMPLEX:O75581_Q9H461	Liana_v0.1.12
WNT8B	FZD3_LRP6	Q93098	COMPLEX:O75581_Q9NPG1	Liana_v0.1.12
WNT8B	FZD4_LRP6	Q93098	COMPLEX:O75581_Q9ULV1	Liana_v0.1.12
WNT8B	FZD10_LRP6	Q93098	COMPLEX:O75581_Q9ULW2	Liana_v0.1.12
WNT8B	FZD1_LRP6	Q93098	COMPLEX:O75581_Q9UP38	Liana_v0.1.12
TSLP	CRLF2_IL7R_TSLP	Q969D9	COMPLEX:P16871_Q969D9_Q9HC73	Liana_v0.1.12
TSLP	CRLF2_IL7R	Q969D9	COMPLEX:P16871_Q9HC73	Liana_v0.1.12;Cpdb_v4.1
LEAP2	GHSR	Q969E1	Q92847	Liana_v0.1.12
UCN3	CRHR1	Q969E3	P34998	Liana_v0.1.12
UCN3	IL10RB	Q969E3	Q08334	Liana_v0.1.12
UCN3	CRHR2	Q969E3	Q13324	Liana_v0.1.12;Cpdb_v4.1
COL26A1	ITGA10_ITGB1	Q96A83	COMPLEX:O75578_P05556	Liana_v0.1.12
COL26A1	ITGA2_ITGB1	Q96A83	COMPLEX:P05556_P17301	Liana_v0.1.12
COL26A1	ITGA1_ITGB1	Q96A83	COMPLEX:P05556_P56199	Liana_v0.1.12
COL26A1	ITGA11_ITGB1	Q96A83	COMPLEX:P05556_Q9UKX5	Liana_v0.1.12
PTH2	RAMP2	Q96A98	O60895	Liana_v0.1.12
PTH2	RAMP3	Q96A98	O60896	Liana_v0.1.12
PTH2	ADRB2	Q96A98	P07550	Liana_v0.1.12
PTH2	ADRB3	Q96A98	P13945	Liana_v0.1.12
PTH2	TSHR	Q96A98	P16473	Liana_v0.1.12
PTH2	VIPR1	Q96A98	P32241	Liana_v0.1.12
PTH2	ADCYAP1R1	Q96A98	P41586	Liana_v0.1.12
PTH2	PTH2R	Q96A98	P49190	Liana_v0.1.12;Cpdb_v4.1
PTH2	PTH1R	Q96A98	Q03431	Liana_v0.1.12;Cpdb_v4.1
PTH2	GPR20	Q96A98	Q99678	Liana_v0.1.12
PTH2	GPR84	Q96A98	Q9NQS5	Liana_v0.1.12
RGMA	BMPR1B	Q96B86	O00238	Liana_v0.1.12
RGMA	BMPR2	Q96B86	Q13873	Liana_v0.1.12
RGMA	NEO1	Q96B86	Q92859	Liana_v0.1.12
RGMA	TFR2	Q96B86	Q9UP52	Liana_v0.1.12
FAM3D	FPR1	Q96BQ1	P21462	Liana_v0.1.12
FAM3D	FPR2	Q96BQ1	P25090	Liana_v0.1.12
BCAN	EGFR	Q96GW7	P00533	Liana_v0.1.12
BCAN	NRCAM	Q96GW7	Q92823	Liana_v0.1.12
SFRP2	FZD5	Q96HF1	Q13467	Liana_v0.1.12
LRIG1	EGFR	Q96JA1	P00533	Liana_v0.1.12
LRIG1	MET	Q96JA1	P08581	Liana_v0.1.12
TAFA4	FPR1	Q96LR4	P21462	Liana_v0.1.12;Cpdb_v4.1
COL21A1	ITGA10_ITGB1	Q96P44	COMPLEX:O75578_P05556	Liana_v0.1.12
COL21A1	ITGA2_ITGB1	Q96P44	COMPLEX:P05556_P17301	Liana_v0.1.12
